,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id,plx
9,10,1292.0,1102.0,112813.2067206784,335.87677363812816,111650.43049148275,1088.5096221649965,1162.776229195646,1139.1516161667603,19.258180330352186,0.005728959814358007,108.0,5.323592452342799
10,11,534.0,1150.0,189411.76084952417,435.21461514825006,111594.35030596006,1061.5882446576795,77817.41054356411,1147.3366386697553,14.694228754708448,0.005666666669876546,112.0,5.3411540643414
11,12,2853.0,1156.0,271637.36048955587,521.1884146194554,117107.88636859096,4183.913662924909,154529.4741209649,4216.2508111286825,13.94939237582161,0.005666666669459786,114.0,5.4524703630873
12,13,3612.0,1234.0,113414.75240909285,336.77106801722834,111991.49817873744,1213.5457291939742,1423.2542303554073,1259.40779301162,19.038714484100815,0.005700671764580706,130.0,5.9837791003485
13,14,2640.0,1467.0,182622.58216929267,427.34363419610105,112229.75708727728,1301.3522595666163,70392.82508201539,1369.7227037495834,14.803099704623165,0.0056666666734511255,156.0,5.423246933217801
14,15,4016.0,1535.0,114219.18561418695,337.9632903853914,112029.80804791555,1124.3041362874587,2189.3775662714033,1174.0012676829651,18.571119033164024,0.00567195713518031,165.0,5.4941773330398
15,16,733.0,1585.0,635468.6043060636,797.1628460244997,112116.24690657493,1192.8955583584636,523352.3573994887,1434.736357744248,12.62493523057741,0.005666666666711465,171.0,5.4279258869765
16,17,1821.0,1591.0,114083.54544546951,337.762557658285,111725.45226750866,1196.5273931922256,2358.093177960851,1243.2865108313729,18.490518287812506,0.0056710759905935024,173.0,5.538436153919
17,18,1385.0,1692.0,905913.5267941852,951.7948943924582,114271.00962644453,9356.730368092101,791642.5171677406,9405.015507811164,12.175597914844712,0.005666666666728916,186.0,5.288666627082
18,19,2293.0,1803.0,246141.55544674964,496.1265514196817,111891.67254273877,1230.5264125471454,134249.88290401088,1326.7768489839327,14.102135903537093,0.005666666667187213,210.0,5.2277047389662
