,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,inst_magnitudes,inst_magnitudes_err,star_id,plx,magnitudes,magnitudes_err
0,1,2322.0,66.0,556138.6198471175,745.7470209797651,542497.6129127243,62264.51161280449,13641.006934393197,62268.97738842646,-10.337116074245058,0.0003346407879638147,6.0,5.4283147714168,14.545305665345678,0.054001036883165265
1,2,747.0,162.0,859770.0991289825,927.2378863117594,548265.754136122,1449.6107242498947,311504.34499286057,1720.7967194506746,-13.73366027189618,1.773378144896228e-08,19.0,5.2471807314599,11.148761467694555,0.05400000000000296
2,3,3677.0,235.0,666023.3426475616,816.102532901384,550960.1052620593,1590.7157731768855,115063.23738550232,1787.8478725109112,-12.652341472608894,1.3503843120683287e-07,27.0,5.3643876412787,12.230080266981842,0.0540000000001689
3,4,1836.0,351.0,549978.2411322668,741.6051786819614,547947.7081103796,1482.842708106287,2030.5330218871823,1657.9507646585562,-8.269025141677638,0.0004021161502033179,44.0,5.3384212852391,16.6133965979131,0.05400149717737704
4,5,2807.0,578.0,550591.5189672606,742.0185436277162,549604.8215117342,1450.1267875226856,986.697455526446,1628.9442037645922,-7.485460020636915,0.0016731627690401779,77.0,5.3058218168891,17.396961718953822,0.05402591483401006
5,6,2914.0,600.0,554450.3656825866,744.6142391951907,549979.6303759337,1472.3409950983973,4470.735306652845,1649.9207165980952,-9.125947394719848,8.254773472434959e-05,83.0,5.6441799851531,15.756474344870888,0.05400006309374568
6,7,2623.0,919.0,560153.8770215645,748.4342843823855,549142.9365856057,1413.266863921857,11010.940435958793,1599.211401503408,-10.104561033284353,1.3190372210022754e-05,134.0,5.3582858581244,14.777860706306383,0.05400000161098076
7,8,2316.0,958.0,555780.2116741111,745.5066826128776,548462.7462751732,1377.2662884359868,7317.465398937929,1566.0915181057258,-9.660901693809722,2.924797362353609e-05,136.0,5.3393478267352,15.221520045781014,0.05400000792077689
8,9,4000.0,1046.0,648187.2662340796,805.1007808240261,552060.315595451,1502.1925008269552,96126.95063862856,1704.3384572391124,-12.457112914351342,1.844444162382896e-07,153.0,5.3411540643414,12.425308825239394,0.05400000000031505
9,10,82.0,1082.0,547337.2554468571,739.8224475292255,546679.19527518,1945.4712895770656,658.0601716770325,2081.3927530470514,-7.045664016073365,0.0048064322526846694,164.0,5.4438638544925,17.836757723517373,0.054213483479662636
10,11,2419.0,1314.0,549973.3492586198,741.6018806269337,548594.902116257,1349.752805241291,1378.4471423628274,1540.0668766667698,-7.848475293496078,0.0008105118065028437,194.0,5.359560513494,17.03394644609466,0.054006082336978366
11,12,2031.0,1409.0,1420290.8527782974,1191.759563550502,548988.883042839,1450.222734460707,871301.9697354584,1877.0820005691742,-14.850421739590736,2.4725543889132084e-09,203.0,5.3668737061325,10.032,0.05400000000000011
12,13,3284.0,1627.0,551672.044327274,742.7462845540813,565319.005144902,90830.09064809182,-13646.960817628074,90833.12743258264,,0.000487722036084369,230.0,5.3653318124857,,0.05400220248086635
13,14,1453.0,1642.0,1831740.51486847,1353.4180886509798,548840.9238318695,1850.4470222857267,1282899.5910366005,2292.5738166902684,-15.270481666726107,1.3929579126141105e-09,232.0,5.4177112307184,9.611940072864629,0.05400000000000007
14,15,773.0,1901.0,546681.5432126542,739.379160372088,546602.6073031448,1293.2105971500023,78.93590950942598,1489.6560647926754,-4.743186543319736,0.23907643677151172,264.0,5.723338169284401,20.139235196271,0.24509904654927292
15,16,2121.0,1995.0,549274.9448039831,741.1308549707944,547704.012386573,1293.8824191320741,1570.9324174100766,1491.1092041593765,-7.990393754488521,0.0006042190968465216,279.0,5.2336278309741,16.892027985102217,0.0540033802712108
