,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id,plx
0,1,2322.0,66.0,556138.6198471175,745.7470209797651,542497.6129127243,62264.51161280449,13641.006934393197,62268.97738842646,14.545305665345678,0.054001036883165265,6.0,5.4283147714168
1,2,747.0,162.0,859770.0991289825,927.2378863117594,548265.754136122,1449.6107242498947,311504.34499286057,1720.7967194506746,11.148761467694555,0.05400000000000296,19.0,5.2471807314599
2,3,1836.0,351.0,549978.2411322668,741.6051786819614,547947.7081103796,1482.842708106287,2030.5330218871823,1657.9507646585562,16.6133965979131,0.05400149717737704,44.0,5.3384212852391
3,4,2807.0,578.0,550591.5189672606,742.0185436277162,549604.8215117342,1450.1267875226856,986.697455526446,1628.9442037645922,17.396961718953822,0.05402591483401006,77.0,5.3058218168891
4,5,2914.0,600.0,554450.3656825866,744.6142391951907,549979.6303759337,1472.3409950983973,4470.735306652845,1649.9207165980952,15.756474344870888,0.05400006309374568,83.0,5.6441799851531
5,6,2623.0,919.0,560153.8770215645,748.4342843823855,549142.9365856057,1413.266863921857,11010.940435958793,1599.211401503408,14.777860706306383,0.05400000161098076,134.0,5.3582858581244
6,7,2316.0,958.0,555780.2116741111,745.5066826128776,548462.7462751732,1377.2662884359868,7317.465398937929,1566.0915181057258,15.221520045781014,0.05400000792077689,136.0,5.3393478267352
7,8,82.0,1082.0,547337.2554468571,739.8224475292255,546679.19527518,1945.4712895770656,658.0601716770325,2081.3927530470514,17.836757723517373,0.054213483479662636,164.0,5.4438638544925
8,9,2419.0,1314.0,549973.3492586198,741.6018806269337,548594.902116257,1349.752805241291,1378.4471423628274,1540.0668766667698,17.03394644609466,0.054006082336978366,194.0,5.359560513494
9,10,2031.0,1409.0,1420290.8527782974,1191.759563550502,548988.883042839,1450.222734460707,871301.9697354584,1877.0820005691742,10.032,0.05400000000000011,203.0,5.3668737061325
10,11,3284.0,1627.0,551672.044327274,742.7462845540813,565319.005144902,90830.09064809182,-13646.960817628074,90833.12743258264,,0.05400220248086635,230.0,5.3653318124857
11,12,1453.0,1642.0,1831740.51486847,1353.4180886509798,548840.9238318695,1850.4470222857267,1282899.5910366005,2292.5738166902684,9.611940072864629,0.05400000000000007,232.0,5.4177112307184
12,13,773.0,1901.0,546681.5432126542,739.379160372088,546602.6073031448,1293.2105971500023,78.93590950942598,1489.6560647926754,20.139235196271,0.24509904654927292,264.0,5.723338169284401
13,14,2121.0,1995.0,549274.9448039831,741.1308549707944,547704.012386573,1293.8824191320741,1570.9324174100766,1491.1092041593765,16.892027985102217,0.0540033802712108,279.0,5.2336278309741
14,15,1880.0,2075.0,548214.0019168494,740.4147496076324,547191.7031394765,1334.5554926159612,1022.2987773729255,1526.1888363855778,17.358477136099218,0.05401974249523027,292.0,5.5253593511045
15,16,1728.0,2316.0,1455257.5503280698,1206.34056022932,548630.7072996954,1369.7857582235456,906626.8430283745,1825.2590420777112,9.988850306284727,0.0540000000000001,325.0,5.3947671435028
16,17,3191.0,2514.0,551483.1420802543,742.6191093061691,549525.9294241813,1341.0815901815402,1957.212656072923,1532.9654180804393,16.653326701069762,0.05400148280122382,350.0,5.3840864152400005
17,18,509.0,2517.0,549668.652311488,741.3964188545657,546329.304783269,1316.3590057260417,3339.3475282191066,1510.7844590961438,16.073267692753014,0.0540001699550618,352.0,5.3620924194335
18,19,952.0,2667.0,808252.0797696871,899.0284101020771,547029.1425966918,1266.2549388841016,261222.9371729953,1552.9499838755428,11.33989346878083,0.05400000000000485,369.0,5.5444840416606
19,20,3313.0,3089.0,960774.8568623455,980.1912403569407,550237.744365411,1363.123592730826,410537.1124969345,1678.9522913805122,10.849040681116001,0.05400000000000097,427.0,5.3956493436395006
20,21,3153.0,3213.0,551937.0707085012,742.924673261476,549797.6730360814,1260.398706668298,2139.3976724197855,1463.0591136081239,16.556692942157834,0.054000946084901684,443.0,5.4120265655362
21,22,2680.0,3302.0,551154.6662694733,742.3979177425977,548850.3190945125,1332.2735675309991,2304.3471749607706,1525.1581973717746,16.476051962422964,0.05400076385568648,455.0,5.3874330726631
22,23,3213.0,3309.0,714565.979963853,845.320045831887,551269.3171306312,2379.023552797887,163296.66283322184,2524.7413817364154,11.849978465867958,0.05400000000008306,458.0,5.5217257718719
23,24,1918.0,3343.0,548675.0179102885,740.7260068126762,547377.6570883364,1271.773687114761,1297.360821952112,1471.7619808943725,17.09976979246146,0.054007079128943224,463.0,5.4620404597975
24,25,891.0,3528.0,547305.7009755126,739.8011227682864,547139.3189711792,1291.3934072968427,166.38200433342718,1488.2884914084923,19.3296558602047,0.07619933975488011,487.0,5.4857720493635
25,26,3236.0,3797.0,598078.0530265826,773.3550625907652,549842.6077126787,1440.5537230573864,48235.44531390385,1635.014703863321,13.174006008780939,0.05400000000457256,526.0,5.3775165303148
26,27,3239.0,3821.0,553429.4113502186,743.9283649653601,550302.5171916733,3428.776690995791,3126.8941585452994,3508.5522668069343,16.144638786673422,0.05400119227002832,531.0,5.6268481808374
27,28,1956.0,605.0,1326866.4706222853,1151.8968976388092,548849.5274897394,1526.253220840287,778016.9431325459,1912.1494075817566,10.154949102422272,0.054000000000000145,85.0,5.2493
28,29,2318.0,1526.0,2439375.174037261,1561.849920152414,550887.2345284679,1723.013839027417,1888487.939508793,2325.543347813603,9.192136200520249,0.054000000000000055,212.0,5.541
29,30,21.0,2609.0,801934.396428507,895.5078996725625,547043.505071202,1400.5570197557963,254890.8913573051,1662.3761198847878,11.36653594950467,0.05400000000000612,359.0,5.4328
0,1,1259.0,1556.0,256236.74620240548,506.1983260615834,101798.3569447353,682.4452890999801,154438.3892576702,849.6871882771355,8.894879145353004,0.054000000000759364,218.0,5.3772342033552
1,2,443.0,3368.0,324420.7691986399,569.5794665633907,101516.21173045234,884.7096454434884,222904.55746818756,1052.2033669739799,8.496469933712511,0.054000000000751766,468.0,5.3185976745859
2,3,3219.0,3376.0,287552.28594960395,536.239019046215,101874.15751358545,696.3182432801484,185678.12843601848,878.8693767974846,8.694865429043208,0.05400000000075363,471.0,5.4054698138227
3,4,2841.0,1906.0,1226324.745221584,1107.395479922206,103067.50254700985,927.8452090672658,1123257.2426745743,1444.7219389699912,6.7405692349883815,0.05400000000074763,539.0,5.3784409046191
4,5,2526.0,1758.0,2130561.2946399236,1459.644233936048,104012.92988833315,1372.4011497178453,2026548.3647515904,2003.5084740049433,6.099874871688021,0.05400000000074762,540.0,5.421853012509501
5,6,2655.0,2041.0,268525.062823016,518.1940395569864,102078.62039297677,747.3334397965278,166446.44243003926,909.4131805018542,8.813581011094156,0.054000000000757595,542.0,5.3780214749562
0,1,3571.0,268.0,1178002.0785019333,1085.3580402630575,434043.3286813484,3837.7135008062837,743958.7498205849,3988.2385823612017,12.988128697242598,0.004966554808610675,0.0,5.3890364338391
