,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,inst_magnitudes,inst_magnitudes_err,star_id,plx,magnitudes,magnitudes_err
0,1,2322.0,66.0,386770.4532706634,621.9087168668477,384412.0646941743,1617.2985900746546,2358.3885764891165,1732.75075575584,-8.431538406394905,0.00031153394296306805,6.0,5.4283147714168,16.780477154461472,0.07300066474627223
1,2,747.0,162.0,593741.2130346042,770.5460478987501,382355.6004259928,1607.8183658519295,211385.6126086114,1782.924874890457,-13.312688562237847,3.990085431027717e-08,19.0,5.2471807314599,11.899326998618529,0.07300000000001101
2,3,1836.0,351.0,383547.8314040372,619.3123852764398,382978.6459708765,1771.6703095035073,569.1854331606883,1876.7960773970747,-6.888134442256532,0.005793080097429041,44.0,5.3384212852391,18.323881118599843,0.073229500728977
3,4,2807.0,578.0,384035.4260966993,619.70591907131,383681.5765552519,1626.8877994842312,353.8495414474164,1740.9191073231004,-6.372046592851738,0.013904049895366323,77.0,5.3058218168891,18.839968968004637,0.074312331436262
4,5,2914.0,600.0,387699.2852774728,622.6550276662335,383948.3021974987,1669.4273739791022,3750.983079974132,1781.7651473942346,-8.935362762822528,0.0001266368937635304,83.0,5.6441799851531,16.276652798033847,0.0730001098417179
5,6,2623.0,919.0,386963.23600727925,622.0636908501041,383372.0953463033,1606.7192962951124,3591.1406609759433,1722.9364853531645,-8.888081040724732,0.0001335993777098787,134.0,5.3582858581244,16.323934520131644,0.07300012225190955
6,7,2316.0,958.0,385487.45979212143,620.876364728941,382990.9008483296,1638.3323591737947,2496.558943791839,1752.0332129828466,-8.49335456052753,0.00028109860239774076,136.0,5.3393478267352,16.718661000328844,0.07300054120637932
7,8,82.0,1082.0,381231.57474460383,617.4395318273181,381060.07952717674,2028.2539215616498,171.49521742708748,2120.1522458996546,-5.58563003290052,0.07208800751526803,164.0,5.4438638544925,19.626385527955854,0.10259474074006598
8,9,2419.0,1314.0,383575.8097345712,619.3349743179041,383203.18517116865,1621.3679117119802,372.6245634025545,1735.62948682679,-6.428178700465036,0.012500116465962205,194.0,5.359560513494,18.78383686039134,0.07406249328548584
9,10,2031.0,1409.0,1070693.4259990589,1034.7431715599607,383298.65468359995,1638.159909475451,687394.7713154589,1937.5916288275464,-14.593015560856376,4.100622598799049e-09,203.0,5.3668737061325,10.619,0.07300000000000022
10,11,3284.0,1627.0,384110.35948648676,619.766375739081,394225.74959882395,60926.61168476451,-10115.39011233719,60929.763841217864,,0.0005954759442952614,230.0,5.3653318124857,,0.07300242866919052
11,12,1453.0,1642.0,1435177.160110873,1197.9887981972017,383172.0064510369,1699.8008269863337,1052005.153659836,2079.5432219671225,-15.055044668461948,1.879023521285649e-09,232.0,5.4177112307184,10.156970892394428,0.07300000000000013
12,13,773.0,1901.0,381260.9289795697,617.463301726644,381312.4203336468,1635.0652818624342,-51.491354077123106,1747.7698375160987,,0.6591975958193619,264.0,5.723338169284401,,0.6632273142249396
13,14,2121.0,1995.0,382573.1297295527,618.5249625759809,382044.1499001462,1635.514171958867,528.9798294065404,1748.5650505508559,-6.808597780539534,0.006248899920245733,279.0,5.2336278309741,18.403417780316843,0.0732669690257026
14,15,1880.0,2075.0,382046.11289135175,618.0987885721416,381694.7706918316,1627.7803283741855,351.34219952014973,1741.1820438645466,-6.364325789496231,0.014105339649187004,292.0,5.5253593511045,18.847689771360145,0.07435025626464876
15,16,1728.0,2316.0,1086942.950545823,1042.5655603195796,382263.5418352169,1563.6851305556258,704679.408710606,1879.375996198005,-14.619978953136481,3.784691746881994e-09,325.0,5.3947671435028,10.592036607719894,0.0730000000000002
16,17,3191.0,2514.0,383442.8525309389,619.2276260752706,382787.6531754374,1625.0429251803687,655.199355501507,1739.0248306374422,-7.040933653877712,0.004050968442663679,350.0,5.3840864152400005,18.171081906978664,0.07311231322645641
17,18,3884.0,2515.0,538218.1733866963,733.6335412385307,383468.8171208633,1700.710762495336,154749.35626583296,1852.1974167182218,-12.974072127739628,7.734452416518359e-08,351.0,5.4180127623563,12.237943433116747,0.07300000000004107
18,19,509.0,2517.0,381854.8906396795,617.9440840508302,380498.4586273642,1630.5725456511905,1356.4320123153157,1743.7378580637694,-7.83099507685801,0.0009477311060047867,352.0,5.3620924194335,17.381020483998366,0.0730061517562
19,20,952.0,2667.0,549532.3478203097,741.3044919460173,380907.6388823344,1655.2688678561124,168624.7089379753,1813.6833722215679,-13.067303032619243,6.378507130048126e-08,369.0,5.5444840416606,12.144712528237132,0.07300000000002797
