,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id
0,1,3290.0,32.0,75372.5701714311,274.5406531816046,60330.589070193564,41484.04401776658,15041.981101237536,41484.95246035898,,90.83697058016962,0
1,2,152.0,34.0,85288.21518567915,292.04146107453687,61203.46228992601,41193.18051079775,24084.75289575314,41194.21572029444,,90.83697058001233,1
2,3,3607.0,35.0,83789.74761976795,289.4645875503192,59457.24203834164,41679.625937387915,24332.50558142631,41680.63108960834,,90.83697058001187,2
3,4,2452.0,42.0,88979.6536937332,298.2945757777334,60653.00671455476,41386.58530350616,28326.64697917844,41387.6602713699,,90.83697057999922,3
4,5,2978.0,47.0,89427.15658174426,299.043736783051,64283.062879693716,39700.48758949424,25144.093702050544,39701.61384629213,,90.83697058000628,4
5,6,1466.0,58.0,89196.78686503872,298.6583111160518,81463.56576187511,24901.994658609892,7733.221103163611,24903.785550880297,,90.83697058093911,5
6,7,2322.0,66.0,89343.49102407938,298.90381573805564,88440.84982048837,6986.438983266988,902.641203591018,6992.830125062057,,90.83697098544896,6
7,8,3656.0,73.0,89749.90029866266,299.5828770062167,89106.66701480208,826.0533598084281,643.2332838605798,878.700206808963,,90.83697060481103,7
8,9,2093.0,81.0,89114.38676361516,298.52032925235653,89199.2705460576,721.2341507272517,-84.88378244244086,780.5722818241725,,90.83703518028895,8
9,10,2738.0,88.0,89203.18751977893,298.6690268605699,89266.23459491538,685.0743168065837,-63.04707513644826,747.3486516705889,,90.83716515793883,9
10,11,413.0,91.0,89345.18610484742,298.906651087543,88962.88235268202,874.7700363814787,382.30375216540415,924.428365323795,,90.83697080018577,10
11,12,507.0,93.0,88918.63182089417,298.1922732600004,88943.86344107686,862.3519563197838,-25.231620182690676,912.4524800780175,,90.84827687447488,11
12,13,3639.0,95.0,89153.44385372546,298.5857397105872,89204.91341280623,850.4209869765365,-51.469559080767795,901.3153161067801,,90.83760775325688,12
13,14,3388.0,99.0,89008.59421097292,298.3430818499188,89255.002112509,748.706529418287,-246.40790153607668,805.9590942977712,,90.83697154985751,13
14,15,3299.0,100.0,89163.39219120017,298.60239786946977,89184.56864425188,734.9342990319643,-21.17645305171027,793.2791538336312,,90.85419344498465,14
15,16,1139.0,128.0,88989.36324212332,298.31085013831904,89041.71986072305,857.8969751860768,-52.35661859973334,908.2822156927145,,90.83757489192843,15
16,17,1919.0,128.0,89446.74648584449,299.07648915977643,89007.63114785738,791.3033749891054,439.11533798711025,845.9360363746697,,90.83697068592653,16
17,18,1731.0,132.0,89293.12939845241,298.8195599546752,89150.9510195877,812.890067504428,142.17837886471534,866.0735484119459,,90.83698068373604,17
18,19,2961.0,151.0,89522.49616758947,299.2031018816678,89092.35812752723,700.098173409866,430.1380400622438,761.3540231636282,,90.83697067319173,18
19,20,747.0,162.0,103009.06799999929,320.9502573931295,89047.19320604013,840.4092105298802,13961.874793959156,899.6091978543642,,90.8369705799847,19
20,21,3425.0,162.0,89119.08659125997,298.5282002120313,89219.98327500348,757.9096335715878,-100.89668374351459,814.5833898272498,,90.83700582281739,20
21,22,2853.0,172.0,89074.9335231558,298.45424071567464,89210.42288446773,695.4959474735927,-135.48936131192022,756.8286112148246,,90.83697993579992,21
22,23,3438.0,178.0,89052.5311687644,298.41670657316416,89189.6362468772,753.6174751578576,-137.10507811279967,810.5503251651177,,90.83698081416678,22
23,24,2518.0,217.0,90484.05988339699,300.805684236291,88997.04587605604,699.7806630798831,1487.014007340942,761.6935316053195,,90.83697058063771,23
24,25,463.0,221.0,88956.46976051011,298.25571203901217,88957.94770792274,829.5822213623865,-1.4779474126262357,881.5685632805028,,413.6841116232644,24
25,26,2258.0,225.0,89234.733965716,298.72183313430315,89029.12291032763,750.7801401616307,205.61105538837728,808.0257127420119,,90.83697259079844,25
26,27,2101.0,228.0,89143.32816636885,298.56879985709406,106857.98662416327,108605.63628791158,-17714.658457794416,108606.04668631662,,90.83697058064388,26
27,28,3677.0,235.0,93214.95190774168,305.3112376572167,89173.61734223015,789.807849380405,4041.3345655115263,846.7652512843698,,90.83697057999937,27
28,29,2110.0,239.0,89178.46713155002,298.62763979839525,106738.01477130323,108578.41968300793,-17559.54763975322,108578.83034609765,,90.83697058066714,28
29,30,979.0,250.0,89052.86450549806,298.41726599314455,89016.35542390398,864.5696797070583,36.50908159407845,914.622105413809,,90.83956225726403,29
30,31,2073.0,252.0,180275.25142509595,424.58833329713485,89202.51214584928,792.6177899061886,91072.73927924667,899.17640852494,,90.83697057998458,30
31,32,2865.0,259.0,89097.63675840493,298.49227226239066,89051.87323273833,696.1829277723941,45.76352566659625,757.4749537259352,,90.83769063270137,31
32,33,2291.0,262.0,89056.24004744724,298.42292088931333,89139.23960032813,740.1695321553817,-82.99955288089404,798.0646440252982,,90.8370444520627,32
33,34,3811.0,268.0,89299.32263331786,298.8299228488456,89106.75131773061,834.6529892267376,192.57131558725087,886.5353547462028,,90.8369737257989,33
34,35,482.0,281.0,89591.60075961114,299.31856040841177,88949.00043998146,820.7020441483927,642.6003196296806,873.5808181698557,,90.83697060461942,34
35,36,3788.0,283.0,89149.08155546372,298.57843435408967,89076.69987848039,835.8263901502202,72.38167698333564,887.5555396328093,,90.83712855321494,35
36,37,57.0,288.0,89457.0185769293,299.09366177181954,88892.6616831269,768.3166539214226,564.3568938023964,824.4801387571969,,90.8369706168698,36
37,38,2003.0,291.0,88981.62027962136,298.2978721088184,89079.98029345,759.8286690282057,-98.36001382864197,816.2850156543507,,90.83700976469059,37
38,39,2299.0,315.0,89228.65184925628,298.711652821756,89036.0628916901,718.627844742995,192.5889575661713,778.2381581312159,,90.83697300328282,38
39,40,876.0,317.0,88914.25570131495,298.1849355248647,88912.52179286849,893.3022876699011,1.73390844646201,941.7553997351151,,326.15108386483774,39
40,41,2050.0,323.0,89136.06284768868,298.5566325699073,89155.80729360976,806.851760483091,-19.744445921081933,860.3172823128372,,90.8637734182343,40
41,42,3769.0,330.0,88884.38281519289,298.1348397299869,89047.91916823699,854.3986228632763,-163.53635304409545,904.9206536550528,,90.83697688187887,41
42,43,3334.0,346.0,89502.27698762914,299.1693115435462,89069.44723376818,766.8279457276602,432.8297538609622,823.120510811353,,90.83697068624359,42
43,44,78.0,348.0,88967.94448332896,298.2749481906243,88952.61514627212,762.1207590119849,15.329337056842633,818.4106524448001,,90.90371222363343,43
44,45,1836.0,351.0,89013.29919471522,298.35096641946143,89017.67452144563,841.1165824690111,-4.37532673041278,892.4631109843002,,102.10166428796721,44
45,46,1753.0,369.0,89184.15431163547,298.637161988257,89057.9549948104,892.0171134320997,126.1993168250774,940.679905800127,,90.8369897827172,45
46,47,3378.0,371.0,89172.76284142309,298.61808857154404,89150.1706424083,767.2034380941383,22.592199014790822,823.2702340335092,,90.8512899509233,46
47,48,613.0,385.0,88924.70038702832,298.20244842483896,88978.23596831762,807.7532448017145,-53.535581289295806,861.0400715032183,,90.83746738138447,47
48,49,1633.0,389.0,89099.77530942095,298.4958548083259,88999.4404369251,882.8544385146516,100.33487249584869,931.9505002642436,,90.83701775209741,48
49,50,474.0,390.0,89246.670942928,298.7418127064463,88800.18754189149,788.9459162083243,446.4834010365157,843.6126654815738,,90.83697067856082,49
50,51,2485.0,394.0,89157.9629667559,298.59330693112884,89164.25598935783,694.7569013406742,-6.29302260192344,756.2044134389607,,92.82228107674334,50
51,52,1334.0,400.0,89138.36349265266,298.56048513489003,88988.36981924927,1005.6864572201456,149.99367340338358,1049.0679737366825,,90.83698254801891,51
52,53,1270.0,404.0,88897.7552167885,298.1572658606808,89062.08200995815,982.8394916129469,-164.3267931696464,1027.0692388829063,,90.83697854292134,52
53,54,3627.0,407.0,89179.8123034825,298.6298917291058,89212.90678621003,799.1165421606678,-33.09448272753798,853.0926445521376,,90.8403099872279,53
54,55,1075.0,414.0,89085.9064763235,298.4726220658354,89047.45835244592,932.5097365283822,38.44812387757702,979.112003216735,,90.83938529414255,54
55,56,1705.0,414.0,89285.00828872662,298.8059715939429,89069.05914444907,915.0531162390552,215.94914427754702,962.6043913254323,,90.83697292527745,55
56,57,1743.0,416.0,89261.37947120162,298.76643004589806,89112.21907210209,911.8982092911605,149.16039909953543,959.5935201067145,,90.8369808192265,56
57,58,1870.0,419.0,91338.73344851221,302.22298634117817,89107.75970189812,837.3720749457719,2230.973746614094,890.241947659156,,90.83697058016067,57
58,59,3501.0,437.0,89211.7995640741,298.68344360637155,89170.43401776328,787.0001828133521,41.36554631081526,841.7725864108489,,90.83830268565421,58
59,60,2276.0,443.0,88998.12851957869,298.3255408239531,89163.21561492691,748.5558325181375,-165.08709534822265,805.8126101674173,,90.83697539195516,59
60,61,243.0,448.0,89565.7541132757,299.2753817774175,88998.88545559463,745.4897305447963,566.8686576810724,803.3185498205379,,90.83697061438416,60
61,62,1300.0,458.0,89808.1466148108,299.6800740214409,89126.35491884884,991.2841681938761,681.7916959619615,1035.5928007075565,,90.83697060730444,61
62,63,2536.0,471.0,90554.70183909652,300.9230831438463,89253.29799838318,708.1759469694819,1301.4038407133485,769.4594686108688,,90.83697058112071,62
63,64,1848.0,472.0,89217.30711140734,298.6926632287105,89705.34072137254,4252.584177075944,-488.03360996520496,4263.061046968874,,90.8369723433874,63
64,65,1819.0,476.0,94729.0767286591,307.7808901423482,89189.957386527,848.0803500718328,5539.119342132093,902.2025030528227,,90.83697057998933,64
65,66,3575.0,483.0,89322.98840365076,298.8695174483886,89341.64283934323,810.157485175968,-18.654435692471452,863.5265712451942,,90.87085884283492,65
66,67,3827.0,494.0,89234.13220887608,298.7208265532248,89259.30914087096,816.0149285849918,-25.17693199487985,868.9732423327033,,90.8473144776637,66
67,68,3691.0,496.0,89352.6421137909,298.91912267835744,89217.73541628146,821.5565295804275,134.90669750944653,874.2469749441715,,90.83698328109128,67
