,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id
0,1,3290.0,32.0,384767.6170198387,620.2963949925564,384447.0040212312,1632.3898967422895,320.61299860751024,1746.271568979769,18.94706274593368,0.07495066255980462,0
1,2,152.0,34.0,382595.01740009943,618.5426565494619,381830.073795789,1716.6261088681094,764.9436043104506,1824.664411780679,18.00294201623901,0.07306657290251925,1
2,3,3607.0,35.0,387903.23731268424,622.8187829629328,384321.3249164794,1719.9246540924935,3581.9123962048325,1829.2195199501375,16.326728160891598,0.0730001392254226,2
3,4,2452.0,42.0,384829.8612825663,620.3465663128235,384545.9524878351,1672.7744920997382,283.90879473119276,1784.0976329101632,19.07906844583209,0.07628182126736559,3
4,5,2978.0,47.0,386595.59776021703,621.7681226823308,384415.74914865394,1695.6035603558532,2179.848611563095,1806.0085914179244,16.865949727585413,0.07300098941500381,4
5,6,1466.0,58.0,384397.773893849,619.9982062265974,383032.18631625595,1622.2701244983214,1365.5875775930472,1736.7089947840996,17.373716667214115,0.07300594025860276,5
6,7,2322.0,66.0,386770.4532706634,621.9087168668477,384412.0646941743,1617.2985900746546,2358.3885764891165,1732.75075575584,16.780477154461472,0.07300066474627223,6
7,8,3656.0,73.0,395246.65255126747,628.6864497182685,384119.82859392936,1756.9606188665584,11126.823957338114,1866.0539296352936,15.096087518537761,0.0730000015560039,7
8,9,2093.0,81.0,384295.88431692345,619.9160302316694,384153.10067378066,1648.3882886554204,142.78364314278588,1761.1018808446424,19.825319413749376,0.11309729425516289,8
9,10,2738.0,88.0,385135.82926742086,620.5931272667827,384247.80912293127,1710.6948044108692,888.0201444895938,1819.7836529239148,17.84095851650717,0.07303646589973543,9
10,11,413.0,91.0,387003.91017281055,622.0963842463749,382061.5646079757,1733.7046060577002,4942.345564834832,1841.9379936246764,15.977182791733233,0.07300003894615709,10
11,12,507.0,93.0,382724.04214420577,618.6469455181502,382041.7530754773,1677.3351796735058,682.2890687284525,1787.7855990496425,18.12709452760364,0.07310094950126117,11
