,skycoord_peak.ra,skycoord_peak.dec,x_peak,y_peak,peak_value,id,plx,img,x_pixel,y_pixel
0,129.85389153437856,19.45936666852748,3571.0,268.0,13038.373,0.0,5.3890364338391,6.0,7071.721986744639,168.64148620712058
1,129.84076892893697,19.86122987252897,210.0,338.0,1981.2649,9.0,5.3643876412787,6.0,3712.291914399024,236.22799811380378
2,129.8688553734682,19.473621621551175,3458.0,392.0,5594.073,17.0,5.4193228558734,6.0,6958.830332492959,292.3828310939841
3,129.88217050504323,19.404844054425286,4038.0,467.0,232.57535,24.0,5.3701870655123,6.0,7538.328421117955,368.0151245486693
4,129.90173679446565,19.48551199574425,3372.0,656.0,623.6481,47.0,5.4098873660766,6.0,6872.933246917945,556.0164099282151
5,129.9019305204159,19.512098803654016,3150.0,669.0,170.92972,49.0,5.5274038841671,6.0,6651.095714996716,568.7594352038477
6,129.90964797002366,19.44088424953379,3748.0,699.0,2473.3638,55.0,5.398444417755299,6.0,7248.644567612786,599.418574832702
7,129.90457402854167,19.81607616134037,613.0,820.0,541.1628,73.0,5.4647587695276,6.0,4115.0371626488595,717.7758320715641
8,129.94689778269853,19.659526105464938,1937.0,1086.0,216.67365,107.0,5.217016266969599,6.0,5438.735235626844,984.228210816588
9,129.9447545739231,19.736682486298943,1292.0,1102.0,187.0942,108.0,5.323592452342799,6.0,4793.890194015358,999.7835566306089
10,129.9459578410349,19.827554198463403,534.0,1150.0,2111.4253,112.0,5.3411540643414,6.0,4035.9320603995834,1047.3757833746067
11,129.9617148324797,19.55054202187532,2853.0,1156.0,4702.796,114.0,5.4524703630873,6.0,6354.355306358662,1054.9670239300237
12,129.97653276145076,19.460377262418305,3612.0,1234.0,195.42697,130.0,5.9837791003485,6.0,7112.91816988907,1133.7446803989715
13,129.99976039466625,19.57787007207382,2640.0,1467.0,2185.2273,156.0,5.423246933217801,6.0,6141.524741708557,1365.4583619490404
14,130.0172879685801,19.41395333939663,4016.0,1535.0,216.60458,165.0,5.4941773330398,6.0,7516.774601841746,1435.00170038767
15,130.0024618378702,19.806435924706623,733.0,1585.0,14547.109,171.0,5.4279258869765,6.0,4234.855724850084,1481.9902040764568
16,130.01020644274902,19.67646088006636,1821.0,1591.0,231.46808,173.0,5.538436153919,6.0,5322.791501635164,1488.6345615347386
17,130.0202214295423,19.7291693933642,1385.0,1692.0,22775.996,186.0,5.288666627082,6.0,4886.854764660248,1589.2338804980257
18,130.04013057921708,19.621350602547096,2293.0,1803.0,4105.9526,210.0,5.2277047389662,6.0,5794.728235922154,1700.8220110623963
19,130.04808226168825,19.653229842966265,2030.0,1879.0,301.8751,221.0,5.2459994999267,6.0,5531.804994334745,1776.5258672659047
20,130.0543732305735,19.763864435324265,1109.0,1975.0,172.64972,234.0,5.0897708439824,6.0,4610.874035965717,1871.7911217534356
21,130.0572144623948,19.74878308265418,1236.0,1991.0,413.42633,236.0,5.4557877616812,6.0,4737.881663820324,1887.8508810231353
22,130.05587360046158,19.778673431815893,986.0,1993.0,1771.0774,237.0,5.3957381862409,6.0,4487.8657120223925,1889.705223843611
23,130.0945593210342,19.464766014093087,3622.0,2165.0,11023.322,260.0,5.4117969249623,6.0,7123.397207048501,2063.9612219823516
24,130.10628645607244,19.47585202275661,3534.0,2262.0,21222.74,270.0,5.4258447984907,6.0,7035.503538590034,2160.7721022821743
25,130.1086308454928,19.686398158890466,1777.0,2369.0,31019.457,281.0,5.4201317272865,6.0,5278.971219274017,2265.8814471266905
26,130.1143517280036,19.65539995695376,2038.0,2401.0,1719.2749,285.0,5.3083749917892,6.0,5539.971688829395,2298.0678657390017
27,130.11681907214847,19.726199842699163,1448.0,2450.0,167.7305,292.0,5.2780765717955,6.0,4949.986014874752,2346.566903198463
28,130.13106426537647,19.695118857463,1713.0,2549.0,634.17566,307.0,5.5323319014874,6.0,5215.034430444327,2445.675710106977
29,130.13916800218846,19.63356240892278,2230.0,2587.0,3346.8813,313.0,5.3769649697637,6.0,5732.040408097486,2484.0827603921166
30,130.13176526322792,19.850210007129125,419.0,2619.0,4952.1816,317.0,5.4180127623563,6.0,3920.7953085555987,2514.841159934036
31,130.16396017536422,19.715347401613997,1557.0,2816.0,243.36475,340.0,5.3608009173477,6.0,5059.127653535614,2712.3317112519544
32,130.17670736219796,19.56595562561878,2809.0,2854.0,6556.4463,348.0,5.3836619860191,6.0,6311.129888654834,2751.4580157462706
33,130.21872293832286,19.48310063291114,3517.0,3150.0,14328.719,389.0,5.3832482238257,6.0,7019.218471018218,3048.1016862476413
34,130.2359804577151,19.73462322096962,1424.0,3390.0,3342.5063,437.0,5.3047981771559,6.0,4926.382558262332,3285.7747849772877
35,130.27862813326902,19.443444150566638,3871.0,3605.0,228.51903,467.0,5.5638823552617005,6.0,7373.594915288257,3503.3010469359606
36,130.2801054707012,19.446744539148312,3844.0,3618.0,2766.2783,470.0,5.5101825420502,6.0,7346.6164562762215,3516.2545309021443
37,130.29158193537063,19.50870372425465,3331.0,3734.0,16536.027,480.0,5.3471893941841,6.0,6833.833050132898,3631.4844493310566
38,130.29697510188265,19.529430191627927,3160.0,3785.0,348.8305,486.0,5.4630282273398,6.0,6662.899514908315,3682.235389119988
39,130.29429764810942,19.82946481469011,655.0,3887.0,36878.527,498.0,5.3963203082118,6.0,4157.332556372208,3781.8992795254035
40,129.92736527111313,19.77824829811168,938.0,983.0,69368.94,525.0,5.487587613506,6.0,4439.960592172614,880.7284094980231
41,130.23430910418276,19.58011237219132,2713.0,3313.0,66711.42,527.0,5.4520304945144,6.0,6215.483943746467,3210.019224173224
42,129.9905520018641,19.54138580710848,2941.0,1379.0,66288.28,528.0,5.403336785707,6.0,6442.364726274025,1277.8453541073475
43,130.17992095600326,19.719086227492703,1532.0,2943.0,65454.41,530.0,5.3559518861187,6.0,5034.179515686357,2839.2084684321794
44,130.11235794491324,19.54511192982004,2958.0,2339.0,65423.5,531.0,5.3836322187249,6.0,6459.769742707927,2237.025367892702
45,130.07531553686889,19.53199530278001,3053.0,2042.0,65410.03,532.0,5.4102580931813,6.0,6554.57712665834,1940.3770590810877
46,130.0863564368314,19.68666639604496,1766.0,2194.0,65291.74,533.0,5.4151970048977,6.0,5267.917625117419,2091.0281832843502
47,130.09233695680146,19.669937442474776,1908.0,2234.0,65108.035,534.0,5.4105655688551,6.0,5409.920901589981,2131.104782874868
48,129.81000333916006,20.02203289561464,2322.0,66.0,314.66934,6.0,5.4283147714168,7.0,2357.711498509379,63.444038821364984
49,129.81214791250056,20.21087119366597,747.0,162.0,3524.281,19.0,5.2471807314599,7.0,782.5893734389672,160.78057232626884
50,129.8402391938082,19.86108342086605,3677.0,235.0,1521.8303,27.0,5.3643876412787,7.0,3713.298473786216,232.00964459206602
51,129.84322749492682,20.081893625503596,1836.0,351.0,223.22307,44.0,5.3384212852391,7.0,1871.66405082189,349.2743026512185
52,129.87837713777873,19.96722752131755,2807.0,578.0,197.52959,77.0,5.3058218168891,7.0,2842.9194220308455,576.1401524616163
53,129.88186508642198,19.954571710268,2914.0,600.0,167.22908,83.0,5.6441799851531,7.0,2949.957189850854,598.1342191564056
54,129.92064771988964,19.991326115820456,2623.0,919.0,405.31732,134.0,5.3582858581243995,7.0,2658.8786890219385,917.7055791068984
55,129.92365613378809,20.02826327954316,2316.0,958.0,332.6453,136.0,5.3393478267351995,7.0,2351.8132502912745,956.8347908653316
56,129.94561329934362,19.827478244057623,4000.0,1046.0,1357.8058,153.0,5.3411540643414,7.0,4036.4273508177525,1044.6401049784106
57,129.92520915056886,20.295987131117187,82.0,1082.0,180.23357,164.0,5.4438638544925,7.0,118.00826401392646,1081.6605169617114
58,129.96965634647322,20.01813421156419,2419.0,1314.0,209.3909,194.0,5.359560513494,7.0,2454.8377483345325,1313.1205666053706
59,129.97928327414354,20.06509030172395,2031.0,1409.0,10042.206,203.0,5.3668737061325,7.0,2066.7920778260113,1408.208127638291
60,129.99309210581532,20.15824628847431,1259.0,1556.0,25697.928,218.0,5.3772342033552,7.0,1294.8188376943017,1555.2923468576187
61,130.0150089044315,19.916644620561318,3284.0,1627.0,210.75162,230.0,5.3653318124857,7.0,3320.026743333874,1626.3481006264278
62,130.0052768108945,20.135586640535365,1453.0,1642.0,14329.876,232.0,5.4177112307184,7.0,1488.8035581161282,1641.267774410447
63,130.03393685839853,20.21841100344277,773.0,1901.0,165.88974,264.0,5.723338169284401,7.0,808.9389956597943,1900.1416314164594
64,130.05445415385157,20.057897918459563,2121.0,1995.0,225.31241,279.0,5.2336278309741,7.0,2156.7764055399525,1994.2512937610918
65,130.0631063426734,20.08718448074221,1880.0,2075.0,195.55037,292.0,5.5253593511045,7.0,1915.7713979407797,2074.1732870591804
66,130.09280900444153,20.10680460147804,1728.0,2316.0,10699.418,325.0,5.3947671435028,7.0,1763.7625450116366,2314.980081245164
67,130.1272524622937,19.933142175270675,3191.0,2514.0,226.70226,350.0,5.3840864152400005,7.0,3226.814146790483,2513.4887510003405
68,130.13176528066532,19.85030325338313,3884.0,2515.0,3003.8252,351.0,5.4180127623563,7.0,3920.017018107112,2514.87957049725
69,130.11067247035308,20.253663165573524,509.0,2517.0,246.94014,352.0,5.3620924194335,7.0,545.052548348968,2515.3543678039073
70,130.13255581130167,20.20163708174103,952.0,2667.0,3366.3032,369.0,5.5444840416606,7.0,987.89374827301,2665.274901484395
71,130.20110908486296,19.922013116662956,3313.0,3089.0,4907.6904,427.0,5.3956493436395006,7.0,3348.6540835376763,3088.2006432469757
72,130.21585556209894,19.941879406588285,3153.0,3213.0,226.49155,443.0,5.4120265655362,7.0,3188.583091338617,3211.9348731143837
73,130.2241837023686,19.99894394501944,2680.0,3302.0,217.7277,455.0,5.3874330726631,7.0,2715.5167054378485,3300.407021003107
74,130.22842982293693,19.935280846205103,3213.0,3309.0,2172.7861,458.0,5.5217257718719,7.0,3248.5545711146397,3307.872258479546
75,130.22459622164146,20.090250345114512,1918.0,3343.0,199.25601,463.0,5.4620404597975,7.0,1953.5598780732807,3340.6940391304706
76,130.2184938084484,20.26662266033997,443.0,3368.0,32215.312,468.0,5.3185976745859,7.0,479.04112092991045,3364.508539606304
77,130.23697872690263,19.934963254398895,3219.0,3376.0,29723.986,471.0,5.4054698138227,7.0,3254.5288118100325,3374.79163494351
78,130.2416480154374,20.214053243702004,891.0,3528.0,168.25026,487.0,5.4857720493635,7.0,926.8142682053127,3524.43202569648
79,130.29055135901004,19.935433972608156,3236.0,3797.0,813.94696,526.0,5.3775165303148,7.0,3271.3481522416632,3795.1513833687586
80,130.29361736782465,19.93521765144814,3239.0,3821.0,241.74036,531.0,5.6268481808374,7.0,3274.337200036757,3819.1112798771373
81,130.04769827420935,19.971300144569312,2841.0,1906.0,61798.508,539.0,5.3784409046191,7.0,2876.8682553045,1905.4023147116327
82,130.02686282113183,20.008052924186583,2526.0,1758.0,61573.598,540.0,5.421853012509501,7.0,2561.83148974688,1757.319464067597
83,130.06369517249874,19.99435214574445,2655.0,2041.0,28312.217,542.0,5.3780214749562,7.0,2690.816750889687,2040.3674186532398
84,129.85389153437856,19.45936666852748,3571.0,268.0,13038.373,0.0,5.3374,6.0,7071.721986744639,168.64148620712058
85,129.84076892893697,19.86122987252897,210.0,338.0,1981.2649,9.0,5.2887,6.0,3712.291914399024,236.22799811380378
86,129.8688553734682,19.473621621551175,3458.0,392.0,5594.073,17.0,5.4164,6.0,6958.830332492959,292.3828310939841
87,129.88217050504323,19.404844054425286,4038.0,467.0,232.57535,24.0,5.5941,6.0,7538.328421117955,368.0151245486693
88,129.87232841122568,19.786465235237703,847.0,554.0,2438.6704,33.0,5.0095,6.0,4349.110422523307,452.1746354631907
89,129.90173679446565,19.48551199574425,3372.0,656.0,623.6481,47.0,5.3702,6.0,6872.933246917945,556.0164099282151
90,129.9019305204159,19.512098803654016,3150.0,669.0,170.92972,49.0,5.4168,6.0,6651.095714996716,568.7594352038477
91,129.90964797002366,19.44088424953379,3748.0,699.0,2473.3638,55.0,5.3456,6.0,7248.644567612786,599.418574832702
92,129.90457402854167,19.81607616134037,613.0,820.0,541.1628,73.0,5.3632,6.0,4115.0371626488595,717.7758320715641
93,129.94689778269853,19.659526105464938,1937.0,1086.0,216.67365,107.0,5.0137,6.0,5438.735235626844,984.228210816588
94,129.9447545739231,19.736682486298943,1292.0,1102.0,187.0942,108.0,5.4184,6.0,4793.890194015358,999.7835566306089
95,129.9459578410349,19.827554198463403,534.0,1150.0,2111.4253,112.0,5.3096,6.0,4035.9320603995834,1047.3757833746067
96,129.9617148324797,19.55054202187532,2853.0,1156.0,4702.796,114.0,5.3932,6.0,6354.355306358662,1054.9670239300237
97,129.97653276145076,19.460377262418305,3612.0,1234.0,195.42697,130.0,5.6777,6.0,7112.91816988907,1133.7446803989715
98,129.99976039466625,19.57787007207382,2640.0,1467.0,2185.2273,156.0,5.3366,6.0,6141.524741708557,1365.4583619490404
99,130.0172879685801,19.41395333939663,4016.0,1535.0,216.60458,165.0,5.4587,6.0,7516.774601841746,1435.00170038767
100,130.0024618378702,19.806435924706623,733.0,1585.0,14547.109,171.0,5.3235,6.0,4234.855724850084,1481.9902040764568
101,130.01020644274902,19.67646088006636,1821.0,1591.0,231.46808,173.0,5.3739,6.0,5322.791501635164,1488.6345615347386
102,130.0202214295423,19.7291693933642,1385.0,1692.0,22775.996,186.0,5.1597,6.0,4886.854764660248,1589.2338804980257
103,130.04013057921708,19.621350602547096,2293.0,1803.0,4105.9526,210.0,5.2452,6.0,5794.728235922154,1700.8220110623963
104,130.04808226168825,19.653229842966265,2030.0,1879.0,301.8751,221.0,5.2646,6.0,5531.804994334745,1776.5258672659047
105,130.06439945174932,19.4586794180354,3661.0,1925.0,1277.4539,228.0,5.6084,6.0,7162.2260230119045,1824.2054954880105
106,130.0572144623948,19.74878308265418,1236.0,1991.0,413.42633,236.0,5.5021,6.0,4737.881663820324,1887.8508810231353
107,130.05587360046158,19.778673431815893,986.0,1993.0,1771.0774,237.0,5.2862,6.0,4487.8657120223925,1889.705223843611
108,130.0945593210342,19.464766014093087,3622.0,2165.0,11023.322,260.0,5.2133,6.0,7123.397207048501,2063.9612219823516
109,130.10628645607244,19.47585202275661,3534.0,2262.0,21222.74,270.0,5.3597,6.0,7035.503538590034,2160.7721022821743
110,130.1086308454928,19.686398158890466,1777.0,2369.0,31019.457,281.0,5.3116,6.0,5278.971219274017,2265.8814471266905
111,130.1143517280036,19.65539995695376,2038.0,2401.0,1719.2749,285.0,5.1991,6.0,5539.971688829395,2298.0678657390017
112,130.11681907214847,19.726199842699163,1448.0,2450.0,167.7305,292.0,5.0749,6.0,4949.986014874752,2346.566903198463
113,130.13106426537647,19.695118857463,1713.0,2549.0,634.17566,307.0,5.5784,6.0,5215.034430444327,2445.675710106977
114,130.13916800218846,19.63356240892278,2230.0,2587.0,3346.8813,313.0,5.3373,6.0,5732.040408097486,2484.0827603921166
115,130.13176526322792,19.850210007129125,419.0,2619.0,4952.1816,317.0,5.3853,6.0,3920.7953085555987,2514.841159934036
116,130.1660262156805,19.669077136135584,1944.0,2813.0,10141.93,339.0,5.2245,6.0,5446.158583778979,2709.6443746756363
117,130.16396017536422,19.715347401613997,1557.0,2816.0,243.36475,340.0,5.5071,6.0,5059.127653535614,2712.3317112519544
118,130.17670736219796,19.56595562561878,2809.0,2854.0,6556.4463,348.0,5.4345,6.0,6311.129888654834,2751.4580157462706
119,130.19964043346428,19.658777083986514,2043.0,3073.0,8820.232,381.0,5.2046,6.0,5545.30656978321,2969.5260925957036
120,130.21872293832286,19.48310063291114,3517.0,3150.0,14328.719,389.0,5.2508,6.0,7019.218471018218,3048.1016862476413
121,130.2359804577151,19.73462322096962,1424.0,3390.0,3342.5063,437.0,5.2802,6.0,4926.382558262332,3285.7747849772877
122,130.27862813326902,19.443444150566638,3871.0,3605.0,228.51903,467.0,5.4021,6.0,7373.594915288257,3503.3010469359606
123,130.2801054707012,19.446744539148312,3844.0,3618.0,2766.2783,470.0,5.5215,6.0,7346.6164562762215,3516.2545309021443
124,130.29158193537063,19.50870372425465,3331.0,3734.0,16536.027,480.0,5.3556,6.0,6833.833050132898,3631.4844493310566
125,130.29697510188265,19.529430191627927,3160.0,3785.0,348.8305,486.0,5.4382,6.0,6662.899514908315,3682.235389119988
126,130.28990978098955,19.85515558171059,439.0,3863.0,10389.577,493.0,5.3751,6.0,3941.192496329051,3757.8035113848955
127,130.29282363512752,19.818609630160296,745.0,3871.0,5102.7173,496.0,5.4362,6.0,4247.373598109305,3765.9624698954294
128,130.29429764810942,19.82946481469011,655.0,3887.0,36878.527,498.0,5.3982,6.0,4157.332556372208,3781.8992795254035
129,129.92736527111313,19.77824829811168,938.0,983.0,69368.94,525.0,5.37,6.0,4439.960592172614,880.7284094980231
130,129.96134070736966,19.54106457229033,2932.0,1149.0,67095.98,526.0,5.513,6.0,6433.3116615198105,1048.054691152692
131,130.23430910418276,19.58011237219132,2713.0,3313.0,66711.42,527.0,5.3013,6.0,6215.483943746467,3210.019224173224
132,129.9905520018641,19.54138580710848,2941.0,1379.0,66288.28,528.0,5.2989,6.0,6442.364726274025,1277.8453541073475
133,130.17992095600326,19.719086227492703,1532.0,2943.0,65454.41,530.0,5.2981,6.0,5034.179515686357,2839.2084684321794
134,130.11235794491324,19.54511192982004,2958.0,2339.0,65423.5,531.0,5.2937,6.0,6459.769742707927,2237.025367892702
135,130.07531553686889,19.53199530278001,3053.0,2042.0,65410.03,532.0,5.2872,6.0,6554.57712665834,1940.3770590810877
136,130.0863564368314,19.68666639604496,1766.0,2194.0,65291.74,533.0,5.2504,6.0,5267.917625117419,2091.0281832843502
137,130.09233695680146,19.669937442474776,1908.0,2234.0,65108.035,534.0,5.3706,6.0,5409.920901589981,2131.104782874868
138,129.81000333916006,20.02203289561464,2322.0,66.0,314.66934,6.0,5.3185,7.0,2357.711498509379,63.444038821364984
139,129.81214791250056,20.21087119366597,747.0,162.0,3524.281,19.0,5.4696,7.0,782.5893734389672,160.78057232626884
140,129.8402391938082,19.86108342086605,3677.0,235.0,1521.8303,27.0,5.2887,7.0,3713.298473786216,232.00964459206602
141,129.84322749492682,20.081893625503596,1836.0,351.0,223.22307,44.0,5.1899,7.0,1871.66405082189,349.2743026512185
142,129.87637456729368,20.069120075257462,1956.0,605.0,9145.986,85.0,5.2493,7.0,1991.7224332242286,603.5629433165052
143,129.92064771988964,19.991326115820456,2623.0,919.0,405.31732,134.0,5.1455,7.0,2658.8786890219385,917.7055791068984
144,129.92365613378809,20.02826327954316,2316.0,958.0,332.6453,136.0,5.1296,7.0,2351.8132502912745,956.8347908653316
145,129.94561329934362,19.827478244057623,4000.0,1046.0,1357.8058,153.0,5.3096,7.0,4036.4273508177525,1044.6401049784106
146,129.92520915056886,20.295987131117187,82.0,1082.0,180.23357,164.0,5.2946,7.0,118.00826401392646,1081.6605169617114
147,129.96965634647322,20.01813421156419,2419.0,1314.0,209.3909,194.0,5.4638,7.0,2454.8377483345325,1313.1205666053706
148,129.97928327414354,20.06509030172395,2031.0,1409.0,10042.206,203.0,4.9955,7.0,2066.7920778260113,1408.208127638291
149,129.9960073595524,20.03150141252657,2318.0,1526.0,20560.645,212.0,5.541,7.0,2353.8182206513884,1525.2386837081817
150,129.99309210581532,20.15824628847431,1259.0,1556.0,25697.928,218.0,5.3886,7.0,1294.8188376943017,1555.2923468576187
151,130.0150089044315,19.916644620561318,3284.0,1627.0,210.75162,230.0,5.1641,7.0,3320.026743333874,1626.3481006264278
152,130.0052768108945,20.135586640535365,1453.0,1642.0,14329.876,232.0,5.213,7.0,1488.8035581161282,1641.267774410447
153,130.05445415385157,20.057897918459563,2121.0,1995.0,225.31241,279.0,5.1867,7.0,2156.7764055399525,1994.2512937610918
154,130.0631063426734,20.08718448074221,1880.0,2075.0,195.55037,292.0,5.4027,7.0,1915.7713979407797,2074.1732870591804
155,130.09280900444153,20.10680460147804,1728.0,2316.0,10699.418,325.0,5.417,7.0,1763.7625450116366,2314.980081245164
156,130.1272524622937,19.933142175270675,3191.0,2514.0,226.70226,350.0,5.2021,7.0,3226.814146790483,2513.4887510003405
157,130.13176528066532,19.85030325338313,3884.0,2515.0,3003.8252,351.0,5.3853,7.0,3920.017018107112,2514.87957049725
158,130.11067247035308,20.253663165573524,509.0,2517.0,246.94014,352.0,5.2794,7.0,545.052548348968,2515.3543678039073
159,130.11929601539492,20.312509733637228,21.0,2609.0,3099.049,359.0,5.4328,7.0,57.27637757612092,2607.0380926370594
160,130.13255581130167,20.20163708174103,952.0,2667.0,3366.3032,369.0,5.5325,7.0,987.89374827301,2665.274901484395
161,130.20110908486296,19.922013116662956,3313.0,3089.0,4907.6904,427.0,5.3794,7.0,3348.6540835376763,3088.2006432469757
162,130.21585556209894,19.941879406588285,3153.0,3213.0,226.49155,443.0,5.5385,7.0,3188.583091338617,3211.9348731143837
163,130.2241837023686,19.99894394501944,2680.0,3302.0,217.7277,455.0,5.1459,7.0,2715.5167054378485,3300.407021003107
164,130.22842982293693,19.935280846205103,3213.0,3309.0,2172.7861,458.0,5.509,7.0,3248.5545711146397,3307.872258479546
165,130.22459622164146,20.090250345114512,1918.0,3343.0,199.25601,463.0,5.3943,7.0,1953.5598780732807,3340.6940391304706
166,130.2184938084484,20.26662266033997,443.0,3368.0,32215.312,468.0,5.1579,7.0,479.04112092991045,3364.508539606304
167,130.23697872690263,19.934963254398895,3219.0,3376.0,29723.986,471.0,5.3606,7.0,3254.5288118100325,3374.79163494351
168,130.28992973234847,19.8552419919234,3905.0,3759.0,6218.4604,516.0,5.3751,7.0,3940.478925268643,3757.99485569221
169,130.29055135901004,19.935433972608156,3236.0,3797.0,813.94696,526.0,5.3277,7.0,3271.3481522416632,3795.1513833687586
170,130.29361736782465,19.93521765144814,3239.0,3821.0,241.74036,531.0,5.5061,7.0,3274.337200036757,3819.1112798771373
171,130.04769827420935,19.971300144569312,2841.0,1906.0,61798.508,539.0,5.2065,7.0,2876.8682553045,1905.4023147116327
172,130.02686282113183,20.008052924186583,2526.0,1758.0,61573.598,540.0,5.3162,7.0,2561.83148974688,1757.319464067597
173,130.06369517249874,19.99435214574445,2655.0,2041.0,28312.217,542.0,5.3518,7.0,2690.816750889687,2040.3674186532398
