,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id
0,1,3290.0,32.0,104856.37732269548,323.8153444600757,78572.09323873532,50815.97584288795,26284.284083960156,50817.00755890964,13.06636560753428,0.06900003920616439,0
1,2,152.0,34.0,107920.75361782747,328.51294303532705,76287.024957241,51341.935466488045,31633.72866058648,51342.986455783466,12.865230025854018,0.06900001907574767,1
2,3,3607.0,35.0,115608.94013558122,340.0131468186651,77630.14795373345,51300.42567284176,37978.79218184776,51301.552443905355,12.666753116177867,0.06900000916679058,2
3,4,2452.0,42.0,112002.93074959127,334.6683889532371,78404.81740410133,50802.38018713604,33598.11334548994,50803.48251457647,12.799818761465785,0.0690000146773711,3
4,5,2978.0,47.0,113386.75502598427,336.7294978760903,83884.93904039383,48072.29386589941,29501.815985590438,48073.4731872384,12.940984114129337,0.06900002210735816,4
5,6,1466.0,58.0,112245.33196785688,335.0303448027041,103107.78229675085,28500.627298289237,9137.549671106026,28502.596403274005,14.213531611752082,0.06900084443864382,5
6,7,2322.0,66.0,120080.6367580262,346.5265307960818,111396.83016227174,798.4282698663359,8683.80659575446,870.3840179296253,14.268830632776574,0.0690000009653887,6
7,8,3656.0,73.0,122688.0706390542,350.2685690073095,111557.20560203276,740.8839629751434,11130.865037021445,819.5102909836959,13.999283696387169,0.06900000031704014,7
8,9,2093.0,81.0,111727.91257323445,334.2572562381808,111228.41577147463,786.0272891211673,499.4968017598294,854.1468331563655,17.369274209131355,0.06908487662586431,8
9,10,2738.0,88.0,112384.70052789104,335.23827413814183,111473.32338682184,765.6284429612663,911.3771410691988,835.8059661897688,16.716360659875097,0.06900733696136409,9
10,11,413.0,91.0,115642.03162983805,340.0618054991626,110948.63722731629,819.6634541027394,4693.394402521764,887.4064511547027,14.936888361055857,0.06900001176028484,10
11,12,507.0,93.0,112649.62005448766,335.63316307688837,110971.780673944,850.5049970157739,1677.8393805436644,914.3349332196592,16.053730029922896,0.06900076441218217,11
12,13,3639.0,95.0,111980.13754455147,334.63433433397614,112171.4273154761,4554.036948512026,-191.28977092463174,4566.314998565897,,0.1425963874663098,12
13,14,3388.0,99.0,111759.53910901998,334.3045604022282,111654.91070966779,728.7649667408272,104.62839935219381,801.7842077856648,19.06648203528058,0.10062477141699366,13
14,15,3299.0,100.0,118434.26257598004,344.1427939136007,111497.77557479282,720.5518041451006,6936.487001187226,798.5168533346172,14.512757046783776,0.06900000199586334,14
15,16,1139.0,128.0,112738.98948886701,335.7662722051503,110975.55668282382,802.0485715169328,1763.4328060431872,869.4946236883214,15.999708698837043,0.06900056652263839,15
16,17,1919.0,128.0,130348.44065838004,361.03800433561327,111206.75943106561,769.9798292127075,19141.68122731443,850.4218823437415,13.410655789907963,0.0690000000390365,16
17,18,1731.0,132.0,119961.10549465145,346.35401730441015,111052.52887012524,757.6939348530882,8908.576624526206,833.1033574629619,14.241085189156427,0.0690000007985194,17
18,19,2961.0,151.0,113976.2681744893,337.6037141097928,111468.59919012997,735.161982041539,2507.668984359334,808.9742935470638,15.617430467439835,0.0690001199248394,18
19,20,747.0,162.0,311653.40025475743,558.259259306162,111198.30166488427,797.0286580026551,200455.09858987317,973.0920214854184,10.860563221075823,0.06900000000000438,19
20,21,3425.0,162.0,112226.48309508082,335.0022142328942,111520.75506198964,697.9364174881119,705.728033091189,774.1716388483125,16.99401256636689,0.06901750615877057,20
21,22,2853.0,172.0,112431.280308475,335.30773955648334,111428.6618621941,738.5152895471391,1002.6184462809033,811.0709667479,16.612766762305352,0.06900471716445813,21
22,23,3438.0,178.0,112129.21655779831,334.8570089324521,111451.37651833276,674.9089752906025,677.8400394655473,753.413127944423,17.037787941960616,0.06901948126262937,22
23,24,2518.0,217.0,135501.95158724562,368.1058976379623,111385.22925178437,770.4514257740809,24116.72233546125,853.8719759736608,13.159810280618307,0.06900000001561842,23
24,25,463.0,221.0,115454.91729132364,339.7865760509903,111024.54522153978,869.232247128247,4430.372069783858,933.2843171896104,14.999505487409657,0.0690000163827951,24
25,26,2258.0,225.0,112010.3990017061,334.67954626669143,111465.35268493097,770.7628639049764,545.0463167751295,840.2891115945032,17.274522465708962,0.06905795119704389,25
26,27,2101.0,228.0,116035.88714509454,340.64040716880737,420595.99505766697,1701264.1779230733,-304560.10791257245,1701264.212025915,,0.06900000243765585,26
27,28,3677.0,235.0,190536.2188086465,436.5045462447238,111557.73379557375,718.6258082126758,78978.48501307274,840.8087006695599,11.871833991860107,0.0690000000001318,27
28,29,2110.0,239.0,114226.28007095531,337.9737859024024,415887.37612045556,1700100.4135404557,-301661.0960495003,1700100.4471344359,,0.06900000252925648,28
29,30,979.0,250.0,112452.33675140949,335.3391369789232,111010.65096305635,775.7402427992372,1441.6857883531338,845.1184893776662,16.21842944529648,0.06900119803603312,29
30,31,2073.0,252.0,1713571.9121405063,1309.034730290415,113662.49858405687,1803.1074208328864,1599909.4135564493,2228.176002062926,8.60536750438574,0.06900000000000013,30
31,32,2865.0,259.0,112023.41898911295,334.69899752821635,111508.87466211207,751.0168177004336,514.5443270008836,822.2224026474098,17.337049002817764,0.06906985356406649,31
32,33,2291.0,262.0,111550.55694209333,333.9918517228275,111431.30091039173,752.0378398611011,119.2560317016032,822.8678324009236,18.9244051039099,0.09004798747567196,32
33,34,3811.0,268.0,114079.53016046167,337.7566139581143,111543.5055123675,735.9678275285174,2536.0246480941714,809.7704448975007,15.605222313124795,0.06900011487632014,33
